"Writers","Scheme","Write Bandwidth (MiB/s)"
24,"FPP: -c 1 -s 1m",5928.5
48,"FPP: -c 1 -s 1m",12261.3
96,"FPP: -c 1 -s 1m",13262.1
192,"FPP: -c 1 -s 1m",12532.8
384,"FPP: -c 1 -s 1m",12048
768,"FPP: -c 1 -s 1m",12741
1536,"FPP: -c 1 -s 1m",11929.5
3072,"FPP: -c 1 -s 1m",13426.2
6144,"FPP: -c 1 -s 1m",14424.8
12288,"FPP: -c 1 -s 1m",12326.2
24,"SSF: -c -1 -s 4m",737.9
48,"SSF: -c -1 -s 4m",1577.9
96,"SSF: -c -1 -s 4m",3316.3
192,"SSF: -c -1 -s 4m",5707.7
384,"SSF: -c -1 -s 4m",9024.4
768,"SSF: -c -1 -s 4m",16144.4
1536,"SSF: -c -1 -s 4m",16433.6
3072,"SSF: -c -1 -s 4m",15403.6
6144,"SSF: -c -1 -s 4m",11858.6
12288,"SSF: -c -1 -s 4m",6024.1
