"Writers","Scheme","Write Bandwidth (MiB/s)"
1536,"FPP -c 1 -s 1m",11207.0778734
1536,"FPP -c 1 -s 1m",11461.8042504
1536,"FPP -c 1 -s 1m",10647.2656301
1536,"FPP -c 1 -s 1m",11207.4810701
1536,"FPP -c 1 -s 1m",11929.5336799
1536,"FPP -c 1 -s 1m",11237.5411344
1536,"FPP -c 1 -s 1m",10819.604917
1536,"FPP -c 1 -s 1m",11298.2468042
1536,"FPP -c 1 -s 1m",11110.9532184
1536,"FPP -c 1 -s 1m",10597.1953457
1536,"FPP -c -1 -s 1m",14447.1314045
1536,"FPP -c -1 -s 1m",15092.1240443
1536,"FPP -c -1 -s 1m",12729.4641758
1536,"FPP -c -1 -s 1m",13344.0922082
1536,"FPP -c -1 -s 1m",13461.4823789
1536,"FPP -c -1 -s 1m",14965.3858743
1536,"FPP -c -1 -s 1m",13115.6060075
1536,"FPP -c -1 -s 1m",13935.2558641
1536,"FPP -c -1 -s 1m",11110.8838558
1536,"FPP -c -1 -s 1m",12387.773345
1536,"FPP -c 4 -s 1m",10581.2323376
1536,"FPP -c 4 -s 1m",12145.9894122
1536,"FPP -c 4 -s 1m",12704.4914843
1536,"FPP -c 4 -s 1m",12153.0099236
1536,"FPP -c 4 -s 1m",12163.1411013
1536,"FPP -c 4 -s 1m",12466.3611792
1536,"FPP -c 4 -s 1m",12294.4917883
1536,"FPP -c 4 -s 1m",12668.0024882
1536,"FPP -c 4 -s 1m",11849.6910314
1536,"FPP -c 4 -s 1m",9926.60865823
192,"FPP -c 1 -s 1m",8741.70079687
192,"FPP -c 1 -s 1m",10310.4996842
192,"FPP -c 1 -s 1m",8996.28096848
192,"FPP -c 1 -s 1m",8126.22037017
192,"FPP -c 1 -s 1m",11124.9516089
192,"FPP -c 1 -s 1m",6995.43548888
192,"FPP -c 1 -s 1m",9699.89695658
192,"FPP -c 1 -s 1m",10174.6906178
192,"FPP -c 1 -s 1m",12532.8460668
192,"FPP -c 1 -s 1m",10462.4230189
192,"FPP -c -1 -s 1m",16872.8488025
192,"FPP -c -1 -s 1m",13231.3933269
192,"FPP -c -1 -s 1m",17148.9061996
192,"FPP -c -1 -s 1m",11699.2442209
192,"FPP -c -1 -s 1m",13867.693428
192,"FPP -c -1 -s 1m",13138.680627
192,"FPP -c -1 -s 1m",16400.0905107
192,"FPP -c -1 -s 1m",10218.3929071
192,"FPP -c -1 -s 1m",11102.2300978
192,"FPP -c -1 -s 1m",13960.2958599
192,"FPP -c 4 -s 1m",9459.23236465
192,"FPP -c 4 -s 1m",9975.66194758
192,"FPP -c 4 -s 1m",10730.8499975
192,"FPP -c 4 -s 1m",10807.7821261
192,"FPP -c 4 -s 1m",10383.1348268
192,"FPP -c 4 -s 1m",11971.2306257
192,"FPP -c 4 -s 1m",12526.758129
192,"FPP -c 4 -s 1m",11718.0036914
192,"FPP -c 4 -s 1m",12312.0263549
192,"FPP -c 4 -s 1m",12164.3528322
24,"FPP -c 1 -s 1m",5730.50670426
